exportaciones,fecha
3256.379,1991/01
3133.354,1991/02
3386.678,1991/03
3713.11,1991/04
3680.416,1991/05
3477.767,1991/06
3648.653,1991/07
3497.12,1991/08
3576.016,1991/09
4055.973,1991/10
3705.89,1991/11
3556.164,1991/12
3169.735,1992/01
3358.682,1992/02
4043.384,1992/03
3701.545,1992/04
3756.704,1992/05
4118.518,1992/06
3857.904,1992/07
3858.392,1992/08
4003.727,1992/09
4315.999,1992/10
3914.296,1992/11
4096.737,1992/12
3491.025,1993/01
3824.112,1993/02
4454.157,1993/03
4131.085,1993/04
4125.457,1993/05
4789.999,1993/06
4151.908,1993/07
4219.402,1993/08
4446.892,1993/09
4923.708,1993/10
4649.174,1993/11
4679.05,1993/12
4089.07,1994/01
4531.315,1994/02
5155.533,1994/03
4655.097,1994/04
5096.665,1994/05
5315.984,1994/06
4757.6,1994/07
5271.435,1994/08
5035.115,1994/09
5555.65,1994/10
6108.348,1994/11
5310.387,1994/12
5932.391,1995/01
6066.195,1995/02
6788.153,1995/03
5864.53,1995/04
7027.839,1995/05
6739.092,1995/06
6048.581,1995/07
7099.164,1995/08
6939.424,1995/09
7346.393,1995/10
6909.189,1995/11
6780.603,1995/12
7142.79,1996/01
7112.474,1996/02
7615.113,1996/03
7915.54,1996/04
8075.42,1996/05
7615.922,1996/06
8003.292,1996/07
7857.667,1996/08
8386.121,1996/09
9299.12,1996/10
8467.329,1996/11
8508.952,1996/12
8181.992,1997/01
8068.267,1997/02
8848.132,1997/03
9220.36,1997/04
8835.675,1997/05
9384.39,1997/06
9361.095,1997/07
8950.302,1997/08
9864.982,1997/09
10289.043,1997/10
9559.202,1997/11
9868.058,1997/12
8547.674,1998/01
8908.95,1998/02
10649.545,1998/03
9792.844,1998/04
9772.383,1998/05
10306.289,1998/06
9126.235,1998/07
9236.794,1998/08
10223.556,1998/09
10338.716,1998/10
10266.337,1998/11
10369.971,1998/12
8663.443,1999/01
9613.236,1999/02
11663.694,1999/03
10533.432,1999/04
11068.961,1999/05
12038.721,1999/06
11050.32,1999/07
12285.014,1999/08
11957.664,1999/09
12329.161,1999/10
12994.306,1999/11
12163.864,1999/12
11252.743,2000/01
13189.566,2000/02
13575.435,2000/03
12327.403,2000/04
14654.687,2000/05
14045.054,2000/06
13411.361,2000/07
15261.802,2000/08
14110.043,2000/09
16131.582,2000/10
14525.529,2000/11
13635.532,2000/12
12853.053,2001/01
12566.162,2001/02
14311.048,2001/03
13273.001,2001/04
14051.74,2001/05
13423.356,2001/06
12947.584,2001/07
13502.467,2001/08
12679.097,2001/09
14484.934,2001/10
12511.301,2001/11
12175.99,2001/12
11579.633,2002/01
11977.242,2002/02
13120.312,2002/03
14445.063,2002/04
13911.295,2002/05
13124.146,2002/06
14066.592,2002/07
13726.998,2002/08
13573.619,2002/09
14856.076,2002/10
13230.385,2002/11
13434.619,2002/12
12613.632,2003/01
12867.156,2003/02
13570.706,2003/03
13563.24,2003/04
13153.418,2003/05
13527.896,2003/06
13740.277,2003/07
13427.713,2003/08
14375.051,2003/09
15128.019,2003/10
13760.615,2003/11
15038.713,2003/12
12710.912,2004/01
13864.283,2004/02
16617.819,2004/03
14725.798,2004/04
16154.748,2004/05
16507.297,2004/06
15016.997,2004/07
16927.796,2004/08
15929.465,2004/09
16913.202,2004/10
17075.574,2004/11
15554.664,2004/12
14125.238,2005/01
15411.666,2005/02
17357.855,2005/03
17378.788,2005/04
18280.74,2005/05
18317.507,2005/06
16376.581,2005/07
19499.37,2005/08
18307.395,2005/09
19560.11,2005/10
20224.043,2005/11
19393.663,2005/12
19206.468,2006/01
18729.262,2006/02
20916.663,2006/03
19760.576,2006/04
22710.072,2006/05
21309.067,2006/06
19825.802,2006/07
22822.775,2006/08
20491.331,2006/09
23185.78,2006/10
20854.24,2006/11
20113.108,2006/12
18999.356,2007/01
19608.83,2007/02
21660.852,2007/03
21076.64,2007/04
23813.951,2007/05
22765.18,2007/06
22634.792,2007/07
24493.338,2007/08
23141.274,2007/09
26088.928,2007/10
24331.827,2007/11
23260.344,2007/12
22232.992,2008/01
22855.904,2008/02
24995.231,2008/03
27029.673,2008/04
26001.708,2008/05
26371.487,2008/06
27548.121,2008/07
25833.029,2008/08
25085.653,2008/09
24429.426,2008/10
20275.591,2008/11
18683.78,2008/12
15081.962,2009/01
16064.787,2009/02
18518.101,2009/03
17372.169,2009/04
17238.291,2009/05
19401.741,2009/06
18016.248,2009/07
19565.549,2009/08
20939.086,2009/09
22117.619,2009/10
22364.014,2009/11
23023.983,2009/12
19189.889,2010/01
21302.6,2010/02
26104.127,2010/03
24844.517,2010/04
24796.461,2010/05
25000.453,2010/06
23334.155,2010/07
26917.226,2010/08
25338.436,2010/09
26530.071,2010/10
28169.737,2010/11
26945.474,2010/12
24674.597,2011/01
25771.475,2011/02
31355.125,2011/03
27808.164,2011/04
31079.659,2011/05
30394.79,2011/06
27848.617,2011/07
31463.992,2011/08
28774.476,2011/09
30023.464,2011/10
31051.747,2011/11
29187.28,2011/12
27281.577,2012/01
30015.345,2012/02
32312.046,2012/03
30900.421,2012/04
33135.477,2012/05
30272.703,2012/06
30294.406,2012/07
31660.136,2012/08
29279.642,2012/09
33939.839,2012/10
31468.922,2012/11
30209.376,2012/12
27298.537,2013/01
29091.473,2013/02
31838.072,2013/03
32729.138,2013/04
32845.282,2013/05
31088.267,2013/06
32252.174,2013/07
32677.304,2013/08
31377.763,2013/09
35082.425,2013/10
31673.409,2013/11
32061.207,2013/12
27052.385,2014/01
30461.527,2014/02
33245.192,2014/03
34059.95,2014/04
34373.788,2014/05
33436.311,2014/06
33687.101,2014/07
33286.822,2014/08
34147.311,2014/09
36879.601,2014/10
32192.734,2014/11
34090.91,2014/12
26552.98,2015/01
29730.827,2015/02
34176.907,2015/03
32971.49,2015/04
31244.164,2015/05
33761.266,2015/06
32694.385,2015/07
31009.266,2015/08
32186.659,2015/09
34100.015,2015/10
30980.793,2015/11
31141.487,2015/12
24687.412,2016/01
28966.433,2016/02
31492.984,2016/03
30386.668,2016/04
31410.208,2016/05
31949.296,2016/06
29773.01,2016/07
32446.304,2016/08
32700.558,2016/09
32595.765,2016/10
34343.966,2016/11
33195.659,2016/12
27316.175,2017/01
31345.973,2017/02
36048.426,2017/03
31768.954,2017/04
35342.342,2017/05
35547.887,2017/06
32155.156,2017/07
35926.907,2017/08
33771.318,2017/09
36715.63,2017/10
37507.573,2017/11
35986.234,2017/12
30718.593,2018/01
35093.964,2018/02
39484.56,2018/03
37182.257,2018/04
39214.362,2018/05
37483.974,2018/06
36742.525,2018/07
39545.625,2018/08
37700.937,2018/09
41356.56,2018/10
38608.762,2018/11
37552.43,2018/12
32620.483,2019/01
36414.115,2019/02
39017.104,2019/03
39447.059,2019/04
41825.444,2019/05
37949.255,2019/06
