,variable,model,params,endog_vars,exog_vars,mape_first6,mape_first18,mape_last12,rmse_first6,rmse_last12,rmse_first18
0,ieps_sin_gas_neto_(mdp)_r,ARIMA,"{'order': (5, 0, 1)}",['ieps_sin_gas_neto_(mdp)_r'],"['igae', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.1784701949902096,0.18081273339584977,0.18198637156985747,2526.297674779095,2638.724737852792,2608.726793928939
4,ieps_sin_gas_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",['ieps_sin_gas_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.16613505796021882,0.1867104215472195,0.2000163788476561,2409.7732128131106,2887.688075997824,2724.331103320694
5,ieps_sin_gas_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.15985523919367223,0.2105132000569071,0.2427451932495227,2300.350093763124,3430.3382543051293,3077.767149618102
1,ieps_sin_gas_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'random_state': 1234}",['ieps_sin_gas_neto_(mdp)_r'],all,0.34948005811091165,0.28857482158981307,0.24861987799028704,5221.34988660099,4307.335343426003,4820.511467207629
3,ieps_sin_gas_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.3796080832499908,0.32298653937683747,0.28628564486316793,5393.718990722591,4907.478282452561,5171.667723626918
2,ieps_sin_gas_neto_(mdp)_r,GB,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 1, 'random_state': 1234, 'subsample': 1.0}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.40488096159106296,0.37580675399653424,0.3592518770531119,5664.215691999429,5669.682579877177,5683.367502541444
11,importaciones_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1234}",['importaciones_neto_(mdp)_r'],all,0.07427321670816615,0.09508879244361128,0.10741664465172666,453.374550520521,674.8031086695494,618.1094842373135
10,importaciones_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 1, 'random_state': 1234, 'subsample': 0.5}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.08488084883666977,0.10054327010049292,0.11027140147870439,554.7284232750917,642.6677491246816,618.3742088518919
12,importaciones_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",['importaciones_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.0817524820549052,0.09699634702913172,0.1024667910933287,510.03066787112584,651.2854488055492,652.5320842585601
9,importaciones_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'random_state': 1234}",['importaciones_neto_(mdp)_r'],all,0.09053974384270619,0.108293840938114,0.12361934729257334,592.1884708619293,711.184388263745,663.9186651880196
13,importaciones_neto_(mdp)_r,VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.09386263583987368,0.09925729079621999,0.10122341053026093,578.890466673003,646.7159509580692,664.2162734494716
8,importaciones_neto_(mdp)_r,ARIMA,"{'order': (4, 0, 5)}",['importaciones_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.09747169027382924,0.10286109229136478,0.10511712069418384,599.3601681971088,694.8757883915304,708.4159785780441
16,ing_trib_neto_(mdp)_r,ARIMA,"{'order': (3, 0, 3)}",['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.07012132102837798,0.0819110608443644,0.09000622156724268,19656.339264240836,26550.183242211293,24226.091477721748
18,ing_trib_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.045258506096095476,0.08253083263543336,0.103029794563213,13313.498204235337,31154.228007185535,26314.326758531184
19,ing_trib_neto_(mdp)_r,VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}","['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.06935572029601601,0.08435724221111227,0.09193854518259177,18827.337491915605,32599.703644746412,28665.609303752382
17,ing_trib_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000, 'random_state': 1234, 'subsample': 0.5}",['ing_trib_neto_(mdp)_r'],all_igae_sa,0.08238189067438116,0.1956134795065269,0.25886165285714213,23523.691391573826,71850.93200722663,59279.52201731169
20,ing_trib_sin_gasol_neto_(mdp)_r,ARIMA,"{'order': (4, 0, 5)}",['ing_trib_sin_gasol_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.057070549946216666,0.05686882487417145,0.05748456917772598,15326.358589803647,16866.308589949913,16386.63319985113
24,ing_trib_sin_gasol_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",['ing_trib_sin_gasol_neto_(mdp)_r'],"['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.05211499512624432,0.05526561074736116,0.05694862322803746,14085.014732203526,18451.37226286547,16993.46721361603
25,ing_trib_sin_gasol_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}","['igae', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.07749470727217911,0.06440808816461008,0.056556744346682356,19922.693185009666,17812.44942073698,18703.64705233409
23,ing_trib_sin_gasol_neto_(mdp)_r,RF,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1234}",['ing_trib_sin_gasol_neto_(mdp)_r'],all,0.07492885742461397,0.07055708949732094,0.06617746896835898,19103.10130830875,22091.668043555983,21819.671684204775
22,ing_trib_sin_gasol_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 1234, 'subsample': 1.0}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all_igae_sa,0.07766624666027618,0.08044643023654206,0.0811203052109875,19327.47770949804,23233.960726889447,22040.094292750182
21,ing_trib_sin_gasol_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.09561708889255331,0.12040836010191283,0.1364618301840464,24862.232293869427,38706.20237438894,34270.019875317346
32,isr_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.05559415473471118,0.06246301542577183,0.06765048163859218,9201.587034425167,13365.20163047436,11958.912200234248
31,isr_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",['isr_neto_(mdp)_r'],"['igae', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.05968607081102393,0.09094094726423284,0.10944587956664042,8136.128313716288,19009.21981902291,15954.453813219148
27,isr_neto_(mdp)_r,ARIMA,"{'order': (4, 0, 2)}",['isr_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.08555745344555127,0.08996530053236307,0.09364273523537672,12538.97559604335,17813.42170919713,16013.682422053611
30,isr_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r']",all,0.07435108515153362,0.09553407797034469,0.10904435249949904,11513.000656612938,24025.598098610964,20383.985901069664
29,isr_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 1234, 'subsample': 1.0}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all_igae_sa,0.09154254557991878,0.13742880059580523,0.16645036663144647,12527.42664749111,27041.27857888965,22716.58080269395
28,isr_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.12459380916823086,0.13156438255986064,0.13982782093420223,18019.584228002033,29244.75272969102,25647.05259327071
37,iva_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 1), 'seasonal_order': (1, 0, 1, 12)}",['iva_neto_(mdp)_r'],"['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.12984938549406635,0.10527078500122217,0.09198731537116585,10065.172784288367,8413.279126877822,9034.53192949851
38,iva_neto_(mdp)_r,VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r']","['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.13452031804071615,0.10992703142369914,0.09721371428267327,10352.803494066717,8874.398017362291,9461.397593312482
33,iva_neto_(mdp)_r,ARIMA,"{'order': (4, 0, 4)}",['iva_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.13363523207172456,0.11780456396113202,0.11127804036932916,10728.767368110652,10246.506450394623,10404.696843058393
36,iva_neto_(mdp)_r,RF,"{'criterion': 'mae', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.1345154714388512,0.11669469654202203,0.10664087587757082,10910.504167366398,10063.646834830173,10448.987180276892
35,iva_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'random_state': 1234, 'subsample': 1.0}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.14743463875086454,0.12290838582554253,0.11114980464086324,11640.147424282102,10043.411955868634,10667.786928837015
34,iva_neto_(mdp)_r,DT,"{'criterion': 'friedman_mse', 'max_depth': 1, 'max_features': None, 'min_samples_split': 10, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.1334220741605758,0.1290418745684145,0.12436773753914333,10797.96972967629,12240.749319341438,12007.964350656383
