,endog_vars,exog_vars,igae_sa,importaciones_r,indic_mens_consumo,inpc,model,params,split_date,tasa_cetes_91_mensual,tc_mensual
0,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -6.877711900163604, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -34.09750421422382}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -144931.52381570917, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -754043.5009239949}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 19.970287079058608, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 48.82060965121218}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 3.0872733049513954, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 5.48744538775577}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -4.173911867944014, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.6720873550510404}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -0.6326845861735251, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 9.21439729020122}"
1,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -5.00187402544816, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -25.40617778932824}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -230467.7561456561, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -725482.9777630009}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 18.071243613859906, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 52.59351891185315}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 2.818668472951458, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.9765534017819846}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -4.2838254177885915, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.965143701327861}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2.3520063899348997, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.1112770287491287}"
2,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1.4631293403531345, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3.9769474071292734}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 130673.57490606047, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 135314.72770815063}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 18.626895574991977, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 35.38956656357982}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.115463186549732, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 13.626783082008387}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 0.2936765918819475, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 15.44390879824865}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.160196122333929, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 27.64423885272629}"
3,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1.4631293403531345, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3.9769474071292734}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 130673.57490606047, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 135314.72770815063}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 18.626895574991977, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 35.38956656357982}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.115463186549732, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 13.626783082008387}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'ct'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 0.2936765918819475, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 15.44390879824865}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.160196122333929, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 27.64423885272629}"
4,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -6.877711900163604, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -34.09750421422382}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -144931.52381570917, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -754043.5009239949}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 19.970287079058608, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 48.82060965121218}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 3.0872733049513954, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 5.48744538775577}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'c'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -4.173911867944014, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.6720873550510404}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -0.6326845861735251, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 9.21439729020122}"
5,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -5.00187402544816, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -25.40617778932824}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -230467.7561456561, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -725482.9777630009}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 18.071243613859906, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 52.59351891185315}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 2.818668472951458, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.9765534017819846}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'ct'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -4.2838254177885915, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.965143701327861}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2.3520063899348997, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.1112770287491287}"
6,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 5.1656594466189745, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 16.92234571783547}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 142492.62077864446, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -132201.9459711071}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 14.661757233024218, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 39.68749554192891}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1.0545290794518678, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 17.78324346158888}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -0.07799374471767351, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 21.23341916911702}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.793965313757411, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -34.24964811196591}"
7,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 4.910096665730407, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 9.448505317181116}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 172270.47580305394, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 167304.10948273353}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 15.545490386496795, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 43.60017513140269}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -0.9461081342094531, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 22.635081759107607}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -0.0957331774456307, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 22.07741190681947}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.524899793637644, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -25.2249132150628}"
8,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.4390654803250982, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 1.7173962642218612}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 214444.93680338282, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -310044.406868808}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 21.860374511720465, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 36.539762522022784}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.6740316735990746, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 23.43947055515082}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 4.517688548253453, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 34.07214622656563}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.5240072285851625, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -12.786640832232877}"
9,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1.5691587252647423, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -20.79766900873892}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 196892.93340738118, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -529824.7077434361}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 26.069019665219002, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 62.593886422862624}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3.315405739971993, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 38.60852353162295}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'ct'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3.2098951549942214, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 24.265242105727054}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.211065706607485, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -15.30893775322022}"
10,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2.8671170736911336, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 10.722005215536228}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 58392.84198402427, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -337530.6107385941}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 15.914707728791655, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 35.4336953702682}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -0.2108767970514691, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 22.279149724040508}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'c'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.0835391043205647, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 23.284112305479262}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.531986453034733, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -38.30518317307198}"
