,endog_vars,exog_vars,igae_sa,importaciones_r,indic_mens_consumo,ing_trib_neto_(mdp)_r,inpc,model,params,split_date,tasa_cetes_91_mensual,tc_mensual
0,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -7.045056558592705, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -38.69417456038468}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -242847.27031851932, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -971196.9309571367}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 17.94330968634131, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 51.76561261501547}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -132022.09524109634, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 211830.03879013984}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 2.6624247955982128, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3.520846018280281}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -5.982552787790759, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -13.026462232915229}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1.7692371354847012, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 25.321745677056867}"
1,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -4.441599012955294, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -28.51098712045814}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -484906.92724162433, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1371179.6326672547}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 18.848659663592343, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 56.90905558179725}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -95052.87048699753, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 288725.0371324569}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 2.3858118955089367, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.4844037115808533}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -4.866144109578357, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -9.810781516330024}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2.143109732077761, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 4.826222170006702}"
2,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1.3461241735524254, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 4.867256771399752}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 131633.8888672674, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 139302.62367808633}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 19.265870087395797, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 37.053899140956446}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -11765.64541206183, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 452003.58146277815}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.206145688207357, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 13.124588160581197}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 0.32366303240601724, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 15.48441010940283}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.196164517222854, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 27.664889635384043}"
3,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 1.2857678797565768, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -4.941061281183693}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 132056.10117246117, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 193575.1554318471}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 19.360450294386737, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 51.29827987317208}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -13042.0151841552, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 279438.5365786385}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.232912345239924, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 18.090392793182446}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'ct'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 0.30449934445775284, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 12.5096976394289}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 5.207634265048483, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 29.719224616512633}"
4,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -5.20218040165264, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -16.40094606595767}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -173171.72874081694, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -649404.5993968099}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 19.611210331897155, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 69.03741875049263}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -119083.63484546728, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 68785.17055462301}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 3.0143414517690417, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3.8191493031970367}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'c'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -4.033075172056222, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1.3864829878570148}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 0.19309210729971937, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 4.362091695339586}"
5,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -3.0970341331233158, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -6.664829817009149}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -342692.70358137507, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -801695.8254805822}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 18.074426729089282, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 73.50871742723257}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -112827.6657543229, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 98385.50876249326}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 2.5663192579563656, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1.6873039046179201}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'ct'}",2015-07-01,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -3.011606892024858, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -0.02184728618401266}","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -2.324338949264586, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -10.92912875597571}"
6,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2.4121683081907577, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 1.1800092790344934}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 83008.90555421822, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -585245.1611713171}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 12.517193476978036, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 35.41078217959989}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -4152.189419750124, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -136797.08313883422}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2.2597317730464965, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 30.398532010059625}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 0.16447787446738005, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 16.80246486646331}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -1.9076346129201625, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -34.089410517376365}"
7,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3.1555328856302367, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 0.5573891441783871}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 7557.771212184802, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -315891.475475993}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 12.608301924184843, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 35.61537353020776}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 10445.207840573508, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -158222.81944397045}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.919294409424083, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 30.04990484613245}",VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'ct'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 0.8766724597247162, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 16.069676304021172}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -3.5837292726107535, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -30.427186264742403}"
8,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.5226409018371214, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 2.965913650617267}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 214815.30829238892, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -313378.49671280384}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 23.40886676601508, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 40.952662290457965}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -43303.21381268045, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -125987.75903469045}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.7091964717142218, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 22.95340542508552}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'c'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 4.488699796121708, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 33.65579377516024}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.4427113529642668, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -13.56893804733059}"
9,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -0.9759249486974113, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -15.806889192586823}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 213272.7684701318, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -411521.99379438534}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 28.19567135260968, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 72.77875654657464}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -116907.02110579144, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -556218.7979681287}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 3.415951548568273, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 38.90626227033863}",VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'ct'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2.9387358555482734, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 21.761083489045262}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 1.007086399039821, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -17.04239527436667}"
10,"['igae_sa', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']",None,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2.1505129937042966, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 11.640637912571492}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 18188.62865828164, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -519516.60467468016}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 15.63095312049495, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 44.678929977510734}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 6466.852452122606, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -236893.00272604218}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 2.1998452830187034, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 30.872581239882493}",VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'c'}",2016-07-01,"{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 0.5447268995274754, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): 20.70120025047423}","{Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -4.4061706473837035, Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -52.36049407636969}"
